name,identifier,role
Aarnav Patel,b66201dd,Batsman
Aaron Beard,eab74985,Fast bowler
Aaron Campbell,de8341fd,Batsman
Aaron Jones,17aa4f1d,Batsman
A Arroz,67b99b43,Batsman
Aarti Priya,ec11ad0b,Batsman
Aarya Desai,8053c798,Batsman
AA Sanguelkar,88be2a27,Batsman
AA Sanklecha,90a5e58a,Fast bowler
AA Sarwate,8996a9a0,Spin bowler
AA Shafique,ef7a904e,Batsman
A Ashish Reddy,1c2a64cd,Allrounder.
A Ashok,321be7e3,Batsman
A Ashokan,9244df4b,Batsman
Aasif Iqbal,42c41e1a,Batsman
Aasif Sheikh,dcbea954,Batsman
A Askari,72448ed4,Batsman
AAS Silva,94aa1697,Batsman
A Athanaze,58c2fac4,Batsman
A Austin,7f92e0e7,Batsman
A Awasthi,fa62a463,Batsman
Aayan Afzal Khan,d2d15439,Batsman
A Ayre,a09eb585,Batsman
A Bacher,1cca37c8,Batsman
A Badoni,872b03f7,Batsman
A Bagai,112959b2,Batsman
AB Agarkar,fa463154,Bowler
A Balbirnie,6ef13460,Batsman
A Barnes,f9607922,Batsman
A Barty,4f62e07f,Batsman
AB Barath,d3a3e82d,Batsman
Abbas Afridi,2cec2a92,Fast bowler
Abbas Ali Baig,41ce15da,Batsman.
Abbas Ghani,a8f91f78,Batsman
Abbas Saad,c3e77f52,Batsman
AB Bhadoriya,1760e2c7,Batsman
ABB Sangma,57c81c1f,Batsman
AB Chawla,5f272b72,Batsman
Abdalah Lubega,dfdd7b97,Batsman
AB de Villiers,c4487b84,Batsman
AB Dinda,66b30f71,Bowler
Abdul Bangalzai,0251a22f,Batsman
Abdul Bashir,b6af1647,Batsman
Abdul Basith,cc777ffa,Batsman
Abdul Ela Al Quraishi,8548e6ce,Batsman
Abdul Halim,705a05c8,Batsman
Abdul Haq,10d94c90,"Sorry, I need more context to provide an accurate response, as Abdul Haq could be a common name and might refer to different individuals in various contexts."
Abdul Hashim,73b1db79,Batsman
Abdul Jabar,dc9d2e3c,Batsman
Abdul Jabbar,3f4b9ae5,Batsman
Abdul Jalali,2c29b16e,Batsman
Abdul Kadir,8f21593d,Spin bowler
Abdulla Bhoola,6ef9a32f,Batsman
Abdullah Akbarjan,5de198db,Spin bowler
Abdullah Akhunzada,3731735d,Batsman
Abdullah Al Mamun,26ccdb37,Batsman
Abdullah Al Mamun,ea36b0ee,Batsman
Abdullah Bayoumy,8ab49ad2,Batsman
Abdullah Ghulam,7d42816e,Batsman
Abdullah Jasat,5a42db78,Batsman
Abdullah Khan Lodhi,6d8b7ac4,Batsman.
Abdullah Mahmood,926c6d3c,Batsman
Abdullah Mazari,4846ef98,Spin bowler
Abdullah Qureshi,508fbec9,Batsman
Abdullah Rana,c4ab9b94,Fast bowler
Abdullah Shafique,fc2fffb5,Batsman
Abdullah Shahid,71686118,Batsman
Abdullah Sheikh,336a85f6,Batsman
Abdullah Syed,bc7d10b8,Batsman
Abdul Majid,384cebed,Batsman
Abdul Majid Abbasi,0cfb42b5,Batsman
Abdul Malik,b3218c80,Batsman
Abdulmalik Jabarkhel,e3fbe553,Batsman
Abdul Manan,353e92b3,Batsman
Abdul Mazid,61a1cead,Batsman
Abdul Muqeet,e1ac7789,Batsman
Abdul Muqeet,37cb317b,Batsman
Abdul Nabi,db07c3e8,Batsman
Abdul Naser Baluch,6a88d66d,Fast bowler
Abdul Nasir,494a0503,Batsman
Abdul Nasir,05c3780a,Batsman
Abdul Qadir,35824e03,Spin bowler.
Abdul Qadir Khan,0b1dadd2,Spin bowler.
Abdul Rahman,12f53be7,Spin bowler.
Abdul Rahman,5fd762d5,"I can't provide specific information about Abdul Rahman without additional context, as there may be multiple individuals with this name and I need more details to accurately identify his role."
Abdul Rahman,40431f63,"I'm sorry, but I need more information to determine whether Abdul Rahman is a batsman, fast bowler, or spin bowler. There may be multiple individuals with that name in cricket."
Abdulrahman Dashti,df2dde61,Batsman
Abdul Rashid Karim,6eb2fb00,Batsman
Abdul Razzaq,390ff45b,Bowler
Abdul Rehman,505371c8,Spin bowler.
Abdul Sadiq,365df3f9,Batsman
Abdul Salam,ff2dd5e4,Batsman
Abdul Samad,8e514b4c,Batsman
Abdul Samad,21dbacff,Batsman
Abdul Shakoor,7b9b9aef,Batsman
Abdul Shakoor,d52b13a6,Batsman
Abdul-Shakoor Rahimzei,e45810ed,Batsman
Abdul Stanikzai,5f91b34e,Batsman
Abdul Waheed,23fa9ea9,Batsman
Abdul Wahid,40aea524,Batsman.
Abdul Wasi,be7d715b,Batsman
Abdur Rahman Sudais,edaae5f4,Neither
Abdur Rauf,43b375d4,Fast bowler.
Abdur Razzak,888e32bf,Spin bowler
Abdur Rehman,d094e7d1,Spin bowler
Abeera Waris,01396dc6,Batsman.
Abeer Maryam,8067b378,Batsman
A Begg,ef618cab,Batsman
A Beggs,9d87a319,Batsman
A Bengeri,c109497d,Batsman
A Benjamin,2ccbf856,Batsman
A Bester,047d293e,Batsman
AB Fudadin,875909c0,Batsman
A Bhadauria,a74bbdad,Batsman
A Bhagwat,906ef9e5,Batsman
A Bhandari,e88f436c,Batsman
A Bhargava,192f2caf,Batsman.
A Bharwad,3cc96a05,Batsman
A Bhattarai,2c2013a9,Batsman
Abhay,778062fb,Batsman
Abhay Negi,481dd6dc,Fast bowler.
Abhijeet Ahuja,b91083bd,Batsman
Abhijeet Saket,5fd3f9db,Batsman
Abhijit Bhattacharya,59ec9638,Batsman
Abhijit Roy,ef131544,Batsman
Abhilasha Singh,89b748cf,Batsman
Abhilash Gogoi,ab922bd0,Batsman
Abhilash Mallick,56fd4f68,Batsman
Abhilash Patil,e48f748b,Batsman.
Abhimanyu Chauhan,539d9b74,Batsman
Abhimanyu Rana,c224c5ef,Batsman
Abhinav Dixit,f1a7f596,Batsman
Abhinav Raman,0cb292b1,Batsman
Abhinav Srivastava,2eca546a,Batsman
Abhiraj Singh,edf3773b,Batsman
Abhisek Das,f4cd319e,Batsman
Abhishek Ahuja,65cf74b4,Batsman
Abhishek Bhandari,18953b31,Batsman
Abhishek Goswami,53c5c146,Batsman
Abhishek Gupta,22a2a635,Batsman
Abhishek Mohan,cdc4604c,Fast bowler
Abhishek Pandey,8bf38500,Batsman
Abhishek Raman,43d1ee59,Batsman
Abhishek Sakuja,a92a9292,Spin bowler.
Abhishek Sharma,f29185a1,Batsman
Abhishek Tanwar,c8ded7bc,Batsman
Abhishek Thakuri,ff9c2522,Batsman
Abhishek Yadav,bca46fdb,Batsman
AB Holder,414c497b,Batsman
AB Howard,7873b849,Batsman
Abid Ali,5d836a72,Batsman
A Bidari,bdac9f0f,Batsman.
Abid Mushtaq,f9979b69,Bowler
Abid Mushtaq,b10e8c85,Spin bowler
A Bierwisch,b51d654f,Batsman
Abishek Porel,ad3b6e95,Batsman
A Bishnoi,376557f7,Spin bowler
A Bisson,ee866f8d,Batsman
AB Kamara,3951be49,Batsman
AB Kaur,9565fda6,Batsman
AB Kookna,4095f16b,Batsman
AB London,c0ac45da,Batsman
AB Martinez,07c15419,Batsman
AB McDonald,16043342,Batsman
AB Mengoumou,8ad3d034,Batsman
A Bohara,64fb6b15,Batsman
A Bonora,71c1f483,Batsman
A Bosch,dcf0e8f4,Batsman.
A Bose,b6f61482,Batsman
AB Perrin,8a3c4af3,Batsman.
Abraash Khan,684dc2da,Batsman
A Bramble,eca0c288,Batsman
Abrar Ahmed,abb7c76c,Spin bowler
Abrar Bilal,6ddaee2d,Batsman
A Brindle,053dc208,Batsman
A Brown,4157fefb,Batsman
A Brown-Carrera,9e866d80,Batsman
Absar Khan,91cf746e,Batsman
AB Slebsager,4ae7048b,Batsman
AB Tancred,12dff268,Batsman
Abubacarr Kuyateh,0ec45a9a,Batsman
Abu Hider,31803fac,Bowler
Abu Jayed,1bb0993e,Bowler
Abul Farhad,f7cb7c3a,Batsman
Abul Hasan,5c756df3,Fast bowler
A Bulow,16f4cc7e,Batsman
A Burdett,1387be20,Batsman
A Bushell,2d645c00,Batsman
A Busing-Volschenk,e9e37173,Batsman
Abu Zar,27f77bd6,Batsman
AB Williams,bc82e1b2,Batsman
AC Agar,a2421394,Spin bowler
A Campbell,4b788e61,Batsman
A Canning,ffd5fcd8,Batsman
A Capsey,910dd54e,Batsman
A Carter,6fe2c1c0,Batsman
A Cassim,5e3f2522,Batsman
A Cawley,ed282cc2,Batsman
AC Bannerman,8a6c2263,Batsman
ACB Langton,0d352971,Batsman
AC Blizzard,1efb8a28,Batsman
AC Botha,d8e79af0,Batsman
AC Boyce,2528611f,Spin bowler
AC Brodin,95569cde,Batsman
AC Cummins,ad75edc3,Batsman
AC Dale,1c7fa06c,Fast bowler
AC Dawson,62decd8e,Batsman
AC Douglas,f86ce673,Batsman
A Cespedes,9e7f9696,Batsman
AC Evans,e9a870ed,Batsman
ACF Stokes,7f74b21d,Batsman
ACF Wyatt,916508da,Batsman
AC Gilchrist,2b6e6dec,Batsman
A Chandel,78fa5f6d,Batsman
A Chandila,99b202b3,Spin bowler
A Charles,b2519612,Batsman
AC Harris,ef14c0ec,Batsman
A Chatterjee,c144a09d,Batsman
A Chaubey,c577d7d4,Batsman
A Chaudary,f52fbc63,Batsman
A Chaudhary,465fd722,Batsman
A Chetty,e62b4c77,Batsman
A Chilia,a0d07fd6,Batsman
Achit Shigwan,95f2b15b,Fast bowler.
A Chopra,e249fdaa,Batsman
A Chopra,57a7b064,Batsman
A Choudhary,18e6906e,Fast bowler
AC Hudson,55a6eb86,Batsman
ACI Lock,b9964982,Batsman
ACI Lovell,2372b3ad,Batsman
A Ciric,2455b2d7,Batsman
AC Jayangani,ac56b5a7,Batsman
AC Kerr,7673c908,Batsman
A Clark,23c38aa6,Batsman
A Clark,8c73cd16,Batsman
A Clarke,9417b5b6,Batsman
AC Lenham,8f9c5014,Batsman
A Cloete,45a6cf8a,Batsman
ACL Richards,a3d329d7,Batsman
AC Mace-Cochrane,d58ef4b7,Batsman
AC MacLaren,7cef11e4,Batsman
AC McDermott,956887b2,Batsman
AC Mushangwe,db873292,Spin bowler.
A Codrington,9cb022df,Fast bowler
A Coningham,6574768e,Fast bowler
A Conteh,97b9cb64,Batsman
A Cossa,ef160d73,Batsman.
A Cotter,06face31,Bowler
A Coxon,ff111ad7,Bowler
AC Parore,749316d2,Batsman
A Crafford,ea5a4563,Batsman
A Cranstone,b9a52291,Batsman.
ACR Birch,9df3a2f4,Batsman
AC Sabino,dd45b04b,Batsman.
AC Septien,7b8ed473,Batsman
AC Smith,96cc6866,Batsman
AC Smith,ddae3cd2,Spin bowler
ACS Pigott,ef08e047,Batsman
AC Stanacu,a839a4b7,Batsman
AC Stockwell,964c881f,Batsman
AC Thomas,b552a935,Fast bowler
A Curr,c32a41ba,Batsman
AC Voges,864c199e,Batsman
AC Waller,7dd70cda,Batsman
AC Warren,de84588e,Batsman
Ada Bhasin,b1c113d7,Batsman
A Dagar,397462b9,Spin bowler
A Dale,a2b35d9b,Fast bowler
AD Algar,020e49e9,Batsman
A Dalzell,66498395,Batsman
Adama Kamara,e45ac860,Batsman
Adam Birss,0cabf6f4,Batsman
Adam Khalaf,96ff4de0,Batsman
A Dananjaya,5b16a806,Spin bowler.
A Daniel,9e3f1cc4,Batsman
A Das,8479657a,Batsman
A Dastgir,4cc200ec,Batsman.
A Davidson Soler,524943f1,Batsman
A Davidson-Soler,71d6fd2c,Batsman
A Daxini,2f949d55,Batsman
A Day,1b0a9d66,Batsman
AD Brown,278b5e2b,Batsman
AD Carr,c3f4dc55,Spin bowler
AD Chopra,40737b8d,Batsman
AD Conwana,6926f6db,Batsman
A Dcosta,3a4d914f,Batsman
AD Curtis,045fe562,Batsman
AD Day,4255615e,Batsman
AD de Lange,95389a96,Fast bowler
Adeel Ashiq,e44cb88f,Batsman
Adeel Malik,cdaf93fc,Spinner
Adeel Raja,79004151,Spin bowler.
Adeel Tariq,e56fb33a,Batsman
Adel Kolasangiani,a421a9c5,Batsman.
A Dennison,72b95896,Batsman
A Denuwan,96912eac,Batsman
A Dercksen,d2b1f515,Batsman
A Desai,9c1b1f4b,Batsman
A Deshmukh,6fda55cc,Batsman
AD Evans,4d11f9c2,Batsman
AD Fofana,8d4a236d,Batsman
AD Gaekwad,1f77cf82,Batsman
ADG Matthews,4700f66f,Batsman
ADG Roberts,cc5416c1,Fast bowler
AD Hales,92aeac25,Batsman
A Dhingra,753ada66,Batsman
Adhip Pradhan,b62aea3c,Batsman
Adhitya Shetty,94759472,Batsman
Adil Afzal,23f222d5,Batsman
Adil Amin,87addb93,Batsman
Adil Bhatti,fb4c5ea5,Batsman
Adil Butt,598f5484,Batsman
Adil Butt,fde53ec1,Batsman
Adil Hanif,396100de,Batsman.
Adil Khan,b4706200,Batsman
Adil Reshi,8d4653f3,Batsman
A Dineshi,42b0cc96,Batsman
A Dirannehelage,039168c7,Batsman
Aditya,b6b1155c,Batsman
Aditya Garhwal,8e02f42b,Batsman
Aditya Jadeja,c0c4b2e9,Batsman
Aditya Kaushik,9a2d95ac,Batsman
Aditya Panwar,77e321db,Batsman
Aditya Rout,56182069,Batsman
Aditya Singh,05d9e607,"I'm sorry, I need more information about Aditya Singh to provide the correct answer."
Aditya Waghmode,eb67df8f,Batsman
A Dizija,6483c062,Batsman
AD Janakanthymala,a5162ca9,Batsman
A Djorovic,677c18f9,Batsman
ADJ Pitcher,9d65b06f,Fast bowler
AD Kamania,b692049a,Batsman
AD Louisy,bb2d4fc2,Batsman
ADL Stokoe,bf09f51d,Batsman.
AD Mascarenhas,3edb58fc,Fast bowler
AD Mathews,896d78ad,Batsman
AD Mullally,bd0438cb,Fast bowler
Adnan Akmal,05da443b,Batsman
Adnan Butt,ba42c0d7,Batsman
Adnan Gondal,79b2d37a,Batsman
Adnan Idrees,0e34c23a,Batsman
Adnan Ilyas,d376bbaa,Batsman
Adnan Khan,45ec7a99,Batsman
Adnan Liaquat,24382f7b,Batsman
Adnan Mirza,745c3cbc,Batsman
Adnan Mufti,811425b1,Batsman
Adnan Rasool,b8a75ca8,Spin bowler.
Adnan Razzaq,91c0d39f,Fast bowler
Adnan Syed,540ef551,Neither
AD Nath,f10e94c4,Batsman
AD Nourse,0091b29e,Batsman
A Doddaballapur,fe4f5d2b,Batsman
AD Ogilvie,56ba45bd,Batsman
A Dolin,f68ea742,Batsman
A Dolphin,3687b435,Batsman
A Donovan,02888f23,Batsman
A Dowling,ec064d97,Batsman
A Dowse,6506e13d,Batsman.
AD Pougher,3c3eaa36,Bowler
AD Poynter,b98cdbf0,Batsman
AD Presland,789404d6,Batsman
ADR Campbell,134ba8ae,Batsman
Adriaan van den Dries,94b5ec3b,Batsman
AD Ridley,a27ce0e3,Batsman
AD Russell,bbd41817,Batsman
ADS Fletcher,1bae756b,Batsman
A D'Souza,b54003c6,Batsman
AD Thomason,0c5bb005,Batsman
A Ducat,df4a8cbf,Batsman
A Dutt,803dbf1d,Batsman
AD Willoughby,09040730,Batsman
AE Cooper,cda94d20,Batsman
AE Dick,8efa0387,Batsman
AE Dipper,7cc55679,Batsman
A Edward,d676814d,Batsman
A Edwards,2a5ca58b,Batsman
AE Dyson,7b34c7e2,Batsman
AEE Vogler,f637987e,Spin bowler
AE Fagg,9a9e4390,Batsman
AE Greenidge,695c8b27,Batsman
AE Hall,657b94e7,Batsman
AE Hodgson,a6043477,Batsman
AE Isesele,5249f9c4,Batsman
AE Jones,b05e45e4,Batsman
AE Knight,17ca6573,Batsman
A Elliott,f48d5563,Batsman
A Emch,24403a9f,Batsman
AE Moe,aac82442,Batsman
AE Moss,b6c00b69,Batsman
AEMP Durayalage,0ead3a98,Batsman
AEN Riley,eaa4cfc2,Batsman
AE Ochse,27b89b93,Batsman
AE Paraam,b56f5b6f,Batsman
AE Relf,6e97492f,Batsman
AE Rendel,0b31d563,Batsman
AER Gilligan,f4c5219f,Batsman.
AE Satterthwaite,72b7ed1e,Batsman
AE Smith,8caf9750,Batsman
AE Stoddart,028b7f77,Batsman
AE Trott,6a83f39c,All-rounder
AEV Hartkopf,b2022171,Batsman
AE White,dc8fccba,Batsman.
A Faletar,b8889eb7,Batsman
AFA Lilley,bb1fdaed,Batsman
AF Aoina,217f5194,Batsman
Afaq Ahmed,e429a2e8,Batsman
Afaq Hussain,1d67f8e5,Spin bowler.
AF Buurman,03d3dd8e,Batsman
A Ferguson,4a8d1b14,Bowler
AFG Griffith,4d46eb96,Fast bowler
AF Giles,a4af4849,Spin bowler
AF Gleadall,7f8bcd2f,Batsman
Afia Amin,7fc47de1,Batsman
Afida Afthab,9446598e,Batsman
A Fielder,6824ecc1,Batsman
Afif Hossain,37138918,Batsman
AF Ifill,0e6c2f00,Batsman.
Afif Khattak,0c160e0d,Batsman
A Fillie,67412324,Batsman
AF Kippax,5d857fee,Batsman
A Flintoff,ddc0828d,Fast bowler
AF Lissette,900d48c5,Spin bowler
A Flower,35aa26af,Batsman
AFM Akhtaruddin,b786b38f,Batsman
AF Milne,350bb1b1,Fast bowler
AF Rae,c1c5bdb3,Batsman
A Freeman,7be2bafa,Spin bowler
A From-Hansen,d60640f9,Batsman
Afsar Zazai,50930025,Batsman
AF Sattaur,ca4db40e,Batsman
Aftab Ahmed,53bc7b84,Batsman
Aftab Ahmed,94ed8d37,Batsman
Aftab Alam,2a3a3786,Fast bowler
Aftab Baloch,41bc340b,Batsman
Aftab Gul,76d536f4,Batsman
Aftab Hussain,3c6b4b2b,Batsman
Aftab Ibrahim,8d42cee6,Batsman
Aftab Kayani,4d83491d,Batsman
A Fujikawa,9543a4fe,Fast bowler
Afzaal Ahmed,34f2b20f,Batsman
Afzaal Haider,4e5cf2d6,Fast bowler.
Afzal Faiz,4017cb2e,Batsman
Afzalkhan Pathan,16da2745,Batsman
Afzal Pathan,0fbdc01f,Fast bowler
Afzal Saleem,746fd7bf,Batsman
Afzal Virk,ce79545f,Batsman
A Gajjar,37db06ef,Batsman
A Galan,ad5165c2,Batsman
A Gandotra,e23617fc,Batsman
A Ganeshan,d72a2d32,Batsman
AG Archer,9fed8473,Fast bowler
A Gardner,bc969efb,Batsman
A Gasteratos,e87c009a,Batsman
A Gavde,c725d464,Batsman.
AG Bailey,ad0b3ffe,Batsman
AG Barrett,443fac6b,Batsman
A Gbla,34ab1e6e,Batsman
AG Botha,cd5ff718,Batsman
AG Chipperfield,ff4df902,Batsman
AG Chouhan,0863ec79,Batsman
AG Cremer,9f0270e0,Spin bowler
AG D'Costa,65d3908c,Batsman
AG Dissanayake,cf209c55,Batsman
AG Dugmore,1d23ed3a,Batsman
AGD Wickremasinghe,8a755918,Batsman
A Genford,52b45daa,Batsman.
A Gentle,f315f713,Batsman
AG Fairfax,564523c4,Batsman.
AG Ganteaume,46fe40aa,Batsman
AG Gerken,a7fcf627,Batsman
AG Gordon,992acb49,Batsman
AG Harriott,cf4e0e15,Batsman
Agha Saadat Ali,d2616ffe,Batsman.
Agha Salman,89c16049,Batsman
Agha Zahid,9d1a92d4,Batsman
AGH Orr,1ab18b25,Batsman
AG Hotton,32c6f715,Batsman
AG Huckle,835ea4e8,Batsman
AG Hurst,ad7945c6,Batsman.
A Gisdaki,f8fc699a,Batsman
AG Jungade,1d44cade,Batsman
AG Kripal Singh,4bc334dd,Batsman
A Glen,9da0d1e5,Batsman
AG Milkha Singh,fd46ed0b,Batsman
AG Milton,7bdb73e9,Batsman
AG Murtaza,ef5da05c,Spin bowler
Agniv Pan,6359ffe3,Batsman
A Goenka,c53500ba,Batsman
A Gorawara,c6b11959,Batsman
A Gordon,898b09e8,Batsman
A Govorko,a6e4e6f9,Batsman.
AG Oxley,278de489,Batsman
AG Paunikar,3a02626a,Batsman
A G Pradeep,d5eed764,Batsman
AG Prince,035cb925,Batsman
AG Puttick,637b6fbd,Batsman
A Gqamane,a83c44b8,Batsman
AG Rao,0420f51f,Batsman
A Greenwood,1096ab5f,Batsman
A Griffiths,091001f8,"Without specific context or additional information, I can't definitively say which specific A Griffiths you are referring to. However, here are the A Griffiths and their roles that I am aware of:

- Andrew Griffiths - batsman
- Adam Griffiths - fast bowler

If you have a specific A Griffiths in mind, please let me know!"
Agrim Tiwari,beb2a972,Batsman
AGR Loudon,ee5aa838,Spin bowler
AG Salter,1a45b864,Spin bowler
AG Sehrawat,1bd8d47d,Batsman
AGS Gous,d1305df0,Batsman
AG Steel,809ecb9d,Batsman
A Gunasekar,b5223cb0,Batsman
A Gurung,10854c82,Batsman
AG Wakely,730d120f,Batsman
AG Walker,b4a03e25,Batsman
AG Weligamage,747209e0,Fast bowler
AG Wharf,2e0fcc58,Bowler
A Habib,97f2d4b6,Batsman
A Haggan,596dfb4e,Batsman
A Halbhavi,df1b4c8f,Batsman
A Hamilton,46d45fde,Batsman
A Haque,a06d0f17,Batsman
A Harikumar,53409d13,Batsman
A Harinath,15e375e1,Batsman.
A Harris,bbafa5d6,Batsman
A Harrison,6b44d18c,Batsman
A Hartley,53d50717,Batsman
A Hartley,e31c12c3,Batsman
AH Bakewell,78f6d902,Batsman
AHC Cooper,a8d8fda3,Batsman
A Hearne,11c27ff1,Batsman
A Hepburn,21764a38,Batsman
A Hewage,be53a6a2,Batsman
A Heywood,068d27fe,Batsman
AH Gray,af20c330,Batsman
AHH Gilligan,f4cd006e,Batsman
AH Hooda,e4072aa1,Batsman.
A Hickey,3e94bd34,Batsman
A Hill,546c694b,Batsman
Ahitesh Varma,6d97efab,Batsman
AH Jarvis,21863356,Fast bowler
AH Jones,56901357,Batsman
AH Kapadia,a21fa4b7,Batsman
AH Kardar,b8201752,Batsman
A Hlubi,ccaa3434,Fast bowler
Ahmadi Ravat,a90e8bcf,Batsman
Ahmad Khalid Ahmadzai,e4ad57ea,Batsman
Ahmad Khan,a63ceba6,Fast bowler
Ahmad Mushtaq,638a14dc,Batsman
Ahmad Nasir,01ab4d37,Batsman
Ahmad Ramdoni,b5f30525,Batsman
Ahmad Raza,6bfa638b,Spin bowler
Ahmadschah Ahmadzai,d6055cb9,Batsman
Ahmad Shafiq,c2f82483,Fast bowler
Ahmadullah Shinwari,e068d48e,Batsman
AH Maqsood,f61e2829,Batsman
AH McKinnon,ec2decf9,Batsman
Ahmed Aqeel,92f0e10e,Batsman
Ahmed Baladraf,8bbb89ab,Batsman
Ahmed Banday,2f9a41e7,Batsman
Ahmed Bilal,56d0ab23,"I'm sorry, but I need more information about which Ahmed Bilal you are referring to, as there may be multiple individuals with that name in cricket."
Ahmed Daniyal,9656afbf,Fast bowler
Ahmed Faiz,e6313a2b,Batsman
Ahmed Faiz,f6b4f746,Batsman
Ahmed Hassan,7c885103,Batsman
Ahmed Hassan,c439461b,"Sorry, I don't have specific information about Ahmed Hassan as a cricketer."
Ahmed Jamaal,c3f4ffdd,Fast bowler
Ahmed Mustafa,e6c4b25e,Batsman
Ahmed Nadeem,ffdb48ea,Batsman
Ahmed Nisar,e1e075c5,Batsman
Ahmed Raid,48adc7d3,Batsman
Ahmed Raza,79b4839e,Spin bowler.
Ahmed Safi Abdullah,fb23118c,Batsman.
Ahmed Shah,63500b26,"Sorry, I can't determine the role of Ahmed Shah with the given information."
Ahmed Shah,075d569e,"I'm sorry, but I'm not able to provide information on Ahmed Shah without additional context, as there could be many individuals with that name. If you have any additional information or context (such as team or country), that could help narrow it down."
Ahmed Shahab,86a1918c,Batsman
Ahmed Shah Durrani,af23265a,Neither.
Ahmed Shah Pakteen,43602937,Batsman
Ahmed Shehzad,f8fd6e3f,Batsman
Ahmed Wardak,3daaabaa,Batsman
Ahmer Bin Nisar,afbc53ba,Batsman
AH Miller,693af62a,Batsman
A Hogg,993d93ec,Spin bowler
A Hoilett,ac1b155e,Batsman
A Holder,8466feb5,Fast bowler
AH Omarshah,d62b4ebd,Batsman
AH Passi,21fde4d1,Batsman
AHP Scott,faacd6f1,Batsman
Ahram Jeong,9f97c98d,Batsman
Ahsan Abbasi,4f21dc48,Batsman
Ahsan Ali,dc2abe5e,Batsman
Ahsan Bhatti,5bbb4ec5,Batsman
Ahsan Hafeez,86229495,Batsman
Ahsan Khan,4c72b407,Batsman
Ahsan Malik,96503059,Fast bowler
Ahsan Raza,e0e5b209,Spin bowler.
Ahsan ul Haq,877ab296,Batsman
Ahsan Yusuf,2eee6ca6,Batsman
AHT Donald,72918338,Batsman
AH Thomson,5d2031f0,Fast bowler
A Hunter,e8fa03ed,Batsman
A Hurwood,0a7f49f5,Fast bowler
A Husain,034d3c52,Batsman
A Hutchinson,f6882b74,Batsman
AIC Dodemaide,88aa3db2,Bowler
AI Chudasama,9414a81c,Batsman
